업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
휴게음식점,2014-10-13,이디야커피 청담역사점,서울특별시 강남구 학동로87길 7  지하3층 C-3 4호 (청담동  청담역사),서울특별시 강남구 청담동 75번지 1호  ,99,010 -8746-8742,2014-10-13,6074,135-953,2014-10-13,커피숍
휴게음식점,2014-10-14,앤드커피,서울특별시 강남구 역삼로9길 24  지상1층 101호 (역삼동),서울특별시 강남구 역삼동 742번지 27호 지상1층 101호,22,070 -4140-8299,2016-11-18,6245,135-924,2014-10-14,커피숍
휴게음식점,2014-10-14,네오아티잔루브리카카페점,서울특별시 강남구 압구정로60길 21  지상3층 (청담동  분더샵청담A),서울특별시 강남구 청담동 89번지 0호 분더샵청담A 지상3층 ,152.05,02  -2056-1286,2016-12-29,6016,135-954,2014-10-14,커피숍
휴게음식점,2014-10-14,노른자쇼핑(수산),서울특별시 강남구 선릉로130길 56  1층 (삼성동  노른자쇼핑),서울특별시 강남구 삼성동 5번지 1호  ,13.22,0104-1700-039,2014-10-14,6089,135-863,2014-10-14,일반조리판매
휴게음식점,2014-10-15,오스커피,서울특별시 강남구 역삼로 128  1층 5호 (역삼동  양원빌딩),서울특별시 강남구 역삼동 834번지 양원빌딩 1층 5호,36.5,010 -8833-1370,2014-10-15,6250,135-569,2014-10-15,커피숍
휴게음식점,2014-10-15,모노치즈 차병원 사거리점,서울특별시 강남구 논현로114길 22  1층 (논현동),서울특별시 강남구 논현동 233번지 4호  ,25,0108-7727-071,2014-10-15,6109,135-830,2014-10-15,커피숍
휴게음식점,2014-10-15,셀렉토커피 역삼점,서울특별시 강남구 역삼로3길 11  지상1층 1호 (역삼동),서울특별시 강남구 역삼동 831번지 38호 지상1층 1호,138.8,--,2016-07-13,6242,135-936,2014-10-15,커피숍
휴게음식점,2014-10-16,스무디킹 도심공항점,서울특별시 강남구 테헤란로87길 22  지하1층 Q125호 (삼성동  도심공항몰),서울특별시 강남구 삼성동 159번지 6호 도심공항몰 지하1층 ,105,010 -3231-2039,2014-10-16,6164,135-090,2014-10-16,커피숍
휴게음식점,2014-10-16,담은,서울특별시 강남구 남부순환로363길 12-53  1층 (도곡동),서울특별시 강남구 도곡동 902번지 5호 1층 ,43,02 3-471 -0303,2014-10-16,6269,135-859,2014-10-16,일반조리판매
휴게음식점,2014-10-16,더 체어,서울특별시 강남구 논현로26길 30-6  지하1~지상1층 (도곡동),서울특별시 강남구 도곡동 452번지 2호 지하1층 ~지상1층 ,204.21,010 -4020-2286,2014-10-16,6302,135-855,2014-10-16,커피숍
휴게음식점,2014-10-17,이따르트 단팥빵,서울특별시 강남구 학동로 지하 180  지하2층 731-2712호 (논현동),서울특별시 강남구 논현동 279번지 67호  ,44,010 -5757-3612,2014-10-17,6112,135-010,2014-10-17,과자점
휴게음식점,2014-10-20,카페인,서울특별시 강남구 도곡로25길 31  1층 103호 (역삼동  역삼동776-24빌딩),서울특별시 강남구 역삼동 776번지 24호  ,39.6,0103-7795-508,2014-10-20,6227,135-928,2014-10-20,커피숍
휴게음식점,2014-10-20,식스뷰리팁스,서울특별시 강남구 선릉로161길 15-3  지상3층 (신사동),서울특별시 강남구 신사동 662번지 16호 지상3층 ,6.6,--,2014-10-20,6018,135-897,2014-10-20,커피숍
휴게음식점,2014-10-21,지브라PC방 역삼점,서울특별시 강남구 테헤란로14길 13  지하1층 (역삼동),서울특별시 강남구 역삼동 735번지 15호  ,9.9,0106-3602-151,2015-04-08,6235,135-923,2014-10-21,기타 휴게음식점
휴게음식점,2014-10-21,레더라 압구정점,서울특별시 강남구 논현로 865  1층 102 103호 (신사동),서울특별시 강남구 신사동 581번지 3호 1층 102 103호 ,58,02 5-77 3-245,2014-10-21,6030,135-892,2014-10-21,커피숍
휴게음식점,2014-10-22,소프레소 도심공항터미널점,서울특별시 강남구 테헤란로87길 22  지하1층 Q105호 (삼성동  한국도심공항터미널),서울특별시 강남구 삼성동 159번지 6호  ,151.19,010 -3294-0868,2014-10-22,6164,135-090,2014-10-22,커피숍
휴게음식점,2014-10-22,굿밀샌드위치(가로수점),서울특별시 강남구 도산대로15길 49  1층 101호 (신사동),서울특별시 강남구 신사동 545번지 2호 1층 101호,24.2,010 -6417-9894,2014-10-22,6033,135-889,2014-10-22,일반조리판매
